nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
CENTRE LUTTE CONTRE LE CANCER J.PERRIN;05701;Caméra à scintillation sans détecteur d'émission de positons;842610663;84-83-35839;84-83-35839;2000-12-29;630000479;1998-12-01;
SCINTIDOME;05701;Caméra à scintillation sans détecteur d'émission de positons;842610654;84-83-35938;84-83-35938;2003-02-18;630004018;2004-07-06;
SCINTIDOME;05701;Caméra à scintillation sans détecteur d'émission de positons;842610655;84-83-35937;84-83-35937;2006-02-14;630004018;2006-11-13;
SCINTIDOME;05701;Caméra à scintillation sans détecteur d'émission de positons;842610656;84-83-63729;84-83-63729;2017-04-25;630004018;2019-11-04;
SCINTIDOME;05705;Tomographe à émissions;842610657;84-83-67911;84-83-67911;2018-11-29;630004018;2021-11-17;
CL ST PIERRE;44901;Caisson hyperbare;762610664;76-91-1079;76-91-1079;1997-12-10;660780784;1998-08-03;
SCM SCANNER PAYS BRUCHE-PIÉMONT-MOSSIG;05602;Scanographe à utilisation médicale;442610665;44-42-569;44-42-569;2003-07-01;670004498;2004-07-22;
"GCS ""TEP HAUTE ALSACE""";05705;Tomographe à émissions;442610667;44-42-768;44-42-768;2007-07-12;680019320;2010-10-05;
CLC A LYON ET EN RHONE-ALPES;05701;Caméra à scintillation sans détecteur d'émission de positons;842610692;84-82-1843;84-82-1843;2000-06-21;690000880;2000-12-16;
CLC A LYON ET EN RHONE-ALPES;05705;Tomographe à émissions;842610693;84-82-1731;84-82-1731;2003-02-17;690000880;2004-06-02;
CLC A LYON ET EN RHONE-ALPES;05701;Caméra à scintillation sans détecteur d'émission de positons;842610694;84-82-1844;84-82-1844;2001-12-24;690000880;2005-02-07;
SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610673;84-82-1847;84-82-1847;2005-05-11;690021449;2005-05-11;
SAS VASELINA;05705;Tomographe à émissions;842610674;84-82-1833;84-82-1833;2005-02-15;690021449;2007-02-28;
SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610675;84-82-1846;84-82-1846;2005-03-02;690021449;2005-07-26;
HOSPICES CIVILS DE LYON;05705;Tomographe à émissions;842610684;84-82-4714;84-82-4714;2010-03-17;690034376;2013-01-07;
HOSPICES CIVILS DE LYON;05701;Caméra à scintillation sans détecteur d'émission de positons;842610686;84-82-1809;84-82-1809;1997-09-08;690034376;2007-11-20;
GCS MEDECINE NUCLEAIRE LYON NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;842610677;84-82-1808;84-82-1808;2004-05-12;690042346;2005-01-11;
GCS MEDECINE NUCLEAIRE LYON NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;842610678;84-82-1845;84-82-1845;2004-11-10;690042346;2005-02-07;
GCS MEDECINE NUCLEAIRE LYON NORD;05705;Tomographe à émissions;842610679;84-82-4161;84-82-4161;2008-05-14;690042346;2012-06-05;
IMHOTEP;05705;Tomographe à émissions;842610680;84-82-4713;84-82-4713;2010-03-17;690042361;2011-09-08;
MEDECINE NUCLEAIRE DE LA DOUA;05705;Tomographe à émissions;842610871;84-82-77674;84-82-77674;2022-02-23;690056528;2025-07-02;
HOSPICES CIVILS DE LYON;44901;Caisson hyperbare;842610687;84-82-1753;84-82-1753;2004-05-12;690783154;2004-11-04;
HOSPICES CIVILS DE LYON;05701;Caméra à scintillation sans détecteur d'émission de positons;842610683;84-82-1842;84-82-1842;2001-06-25;690784137;2002-04-10;
HOSPICES CIVILS DE LYON;05705;Tomographe à émissions;842610688;84-82-1761;84-82-1761;2001-04-05;690784137;2003-03-06;
HOSPICES CIVILS DE LYON;05701;Caméra à scintillation sans détecteur d'émission de positons;842610689;84-82-1813;84-82-1813;2006-12-13;690784137;2008-05-27;
HOSPICES CIVILS DE LYON;05705;Tomographe à émissions;842610872;84-82-77675;84-82-77675;2022-02-23;690784137;;
HOSPICES CIVILS DE LYON;05705;Tomographe à émissions;842610681;84-82-60064;84-82-60064;2016-10-03;690784178;2016-10-03;
HOSPICES CIVILS DE LYON;05705;Tomographe à émissions;842610682;84-82-49444;84-82-49444;2013-11-18;690784178;2014-11-06;
HOSPICES CIVILS DE LYON;05701;Caméra à scintillation sans détecteur d'émission de positons;842610685;84-82-1811;84-82-1811;2003-05-14;690784178;2005-04-06;
HOSPICES CIVILS DE LYON;05701;Caméra à scintillation sans détecteur d'émission de positons;842610690;84-82-1840;84-82-1840;2006-12-13;690784178;2008-03-10;
HOSPICES CIVILS DE LYON;05701;Caméra à scintillation sans détecteur d'émission de positons;842610691;84-82-1841;84-82-1841;2003-11-12;690784178;2020-09-14;
MEDECINE NUCLEAIRE DE LA DOUA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610668;84-82-5447;84-82-5447;2007-07-11;690807219;2010-05-11;
MEDECINE NUCLEAIRE DE LA DOUA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610669;84-82-1806;84-82-1806;2000-06-21;690807219;2004-06-07;
MEDECINE NUCLEAIRE DE LA DOUA;05701;Caméra à scintillation sans détecteur d'émission de positons;842610670;84-82-1805;84-82-1805;2007-03-14;690807219;2007-03-14;
GCS MEDECINE NUCLEAIRE 70;05701;Caméra à scintillation sans détecteur d'émission de positons;272610695;27-43-44133;27-43-44133;2010-02-24;700004856;2011-02-10;
SELARL NUCLEARIS;05702;Caméra à scintillation avec détecteur d'émission de positons;272610696;27-26-45671;27-26-45671;2010-04-27;710006529;2014-03-20;
SELARL NUCLEARIS;05702;Caméra à scintillation avec détecteur d'émission de positons;272610699;27-26-35664;27-26-35664;2008-11-14;710006529;2009-09-25;
CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272610365;27-26-45674;27-26-45674;2006-03-13;710011297;2007-06-07;
CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272610366;27-26-45675;27-26-45675;2006-03-14;710011297;2007-06-07;
SELARL NUCLEARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;272610697;27-26-35573;27-26-35573;2006-12-14;710014739;2008-06-09;
SELARL NUCLEARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;272610698;27-26-45689;27-26-45689;2009-06-12;710014739;2009-11-27;
SOCIETE CIVILE DE MOYENS TEP CHALON;05705;Tomographe à émissions;272610700;27-26-35577;27-26-35577;2003-03-07;710015033;2004-11-04;
SCM TEP MACON;05705;Tomographe à émissions;272610701;27-26-66459;27-26-66459;2018-05-30;710015868;2019-08-27;
CENTRE HOSPITALIER METROPOLE SAVOIE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610706;84-82-1849;84-82-1849;2002-11-13;730000031;2008-07-08;
CENTRE HOSPITALIER METROPOLE SAVOIE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610707;84-82-1848;84-82-1848;2001-12-31;730000031;2002-05-20;
CENTRE HOSPITALIER METROPOLE SAVOIE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610708;84-82-1850;84-82-1850;2005-11-09;730000031;2008-07-08;
CENTRE HOSPITALIER METROPOLE SAVOIE;05705;Tomographe à émissions;842610709;84-82-4747;84-82-4747;2007-07-11;730000031;2010-03-17;
SELAS CTRE D'IMAGERIE NUCL D'ANNECY;05701;Caméra à scintillation sans détecteur d'émission de positons;842610710;84-82-1854;84-82-1854;2006-12-13;740011077;2002-11-16;
SELAS CTRE D'IMAGERIE NUCL D'ANNECY;05705;Tomographe à émissions;842610711;84-82-1768;84-82-1768;2006-01-31;740011077;2007-11-16;
SELAS CTRE D'IMAGERIE NUCL D'ANNECY;05701;Caméra à scintillation sans détecteur d'émission de positons;842610712;84-82-1853;84-82-1853;2005-11-09;740011077;2003-10-29;
CH ALPES LEMAN;05705;Tomographe à émissions;842610713;84-82-60065;84-82-60065;2016-10-03;740781141;2018-01-31;
CH ALPES LEMAN;05701;Caméra à scintillation sans détecteur d'émission de positons;842610714;84-82-1822;84-82-1822;2002-06-12;740781141;2004-05-07;
CH ALPES LEMAN;05701;Caméra à scintillation sans détecteur d'émission de positons;842610715;84-82-1823;84-82-1823;1998-06-09;740781141;1998-06-09;
CH ALPES LEMAN;05701;Caméra à scintillation sans détecteur d'émission de positons;842610716;84-82-1821;84-82-1821;2002-11-13;740781141;2022-09-20;
FONDATION HOPITAL SAINT-JOSEPH;05602;Scanographe à utilisation médicale;112610717;11-11-62838;11-11-62838;2016-12-09;750000523;2017-11-06;
FONDATION ADOLPHE DE ROTHSCHILD;05602;Scanographe à utilisation médicale;112610718;11-11-68658;11-11-68658;2018-12-26;750000549;2019-01-09;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112610722;11-11-75495;11-11-75495;2019-12-20;750100075;2021-01-06;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112610719;11-11-62837;11-11-62837;2016-12-09;750100125;2019-01-07;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112610721;11-11-68656;11-11-68656;2018-12-26;750100273;2021-02-10;
FONDATION CURIE;05602;Scanographe à utilisation médicale;112610741;11-11-54103;11-11-54103;2015-06-02;750160012;2016-11-07;
FONDATION CURIE;05602;Scanographe à utilisation médicale;112610742;11-11-64377;11-11-64377;2017-06-29;750160012;2018-09-03;
SAS HOPITAL PRIVE DES PEUPLIERS;05602;Scanographe à utilisation médicale;112610874;11-11-75756;11-11-75756;2022-01-19;750300360;;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112610720;11-11-62836;11-11-62836;2016-12-09;750803447;2017-06-12;
SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112610747;11-11-2795;11-11-2795;1999-06-16;770013779;2001-04-25;
SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112610748;11-11-3867;11-11-3867;2006-12-19;770013779;2009-01-09;
SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112610749;11-11-4111;11-11-4111;2009-04-28;770013779;2009-09-11;
SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112610743;11-11-1393;11-11-1393;1997-08-18;770019081;2000-10-20;
SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112610744;11-11-50730;11-11-50730;2014-05-23;770019081;2015-05-04;
SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112610751;11-11-1402;11-11-1402;1999-12-30;770019081;2000-03-14;
SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112610745;11-11-70690;11-11-70690;2019-04-11;770020527;2019-08-19;
SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112610746;11-11-1414;11-11-1414;2001-12-11;770020527;2003-11-19;
SELAS EVESIO CMN IDF;05705;Tomographe à émissions;112610750;11-11-5054;11-11-5054;2010-06-25;770020527;2012-01-13;
SELAS EVESIO CMN IDF;05701;Caméra à scintillation sans détecteur d'émission de positons;112610752;11-11-1413;11-11-1413;1998-12-30;770020527;1999-09-23;
GIE IRM SCANNER SUD 77;06201;Appareil d'IRM à utilisation clinique;112610754;11-11-44740;11-11-44740;2012-11-15;770021079;2016-06-22;
GIE IRM SCANNER SUD 77;05602;Scanographe à utilisation médicale;112610753;11-11-1404;11-11-1404;2000-07-19;770021244;2001-05-04;
GIE IMAGERIE DE LA GOELE;05602;Scanographe à utilisation médicale;112610832;11-11-76003;11-11-76003;2022-01-20;770026185;2024-02-26;
CENTRE HOSPITALIER  DE VERSAILLES;05705;Tomographe à émissions;112610755;11-11-40607;11-11-40607;2012-02-24;780800256;2015-05-12;
CENTRE HOSPITALIER  DE VERSAILLES;05701;Caméra à scintillation sans détecteur d'émission de positons;112610756;11-11-6300;11-11-6300;2011-06-24;780800256;2011-11-02;
CENTRE HOSPITALIER  DE VERSAILLES;05701;Caméra à scintillation sans détecteur d'émission de positons;112610757;11-11-1433;11-11-1433;1996-12-18;780800256;2000-02-25;
SCM LIBERALE IRM DES DEUX-SEVRES;06201;Appareil d'IRM à utilisation clinique;752610759;75-54-43378;75-54-43378;2012-03-20;790015978;2012-07-07;
SAS SCANNER 79;05602;Scanographe à utilisation médicale;752610760;75-54-538;75-54-538;2006-05-22;790016067;2006-07-27;
GIE CABINET RADIO DE LA BURGONCE;06201;Appareil d'IRM à utilisation clinique;752610758;75-54-76057;75-54-76057;2021-12-17;790019145;2022-03-09;
SCM LIBERALE IRM DES DEUX-SEVRES;05602;Scanographe à utilisation médicale;752610877;75-54-74737;75-54-74737;2021-03-19;790020739;2025-01-07;
GIE CABINET RADIO DE LA BURGONCE;06201;Appareil d'IRM à utilisation clinique;752610876;75-54-78013;75-54-78013;2023-04-25;790021133;2025-01-06;
GROUPE HOSPITALIER SUD;05701;Caméra à scintillation sans détecteur d'émission de positons;322610761;32-22-665;32-22-665;2002-05-22;800006124;2002-10-28;
GROUPE HOSPITALIER SUD;05705;Tomographe à émissions;322610762;32-22-70742;32-22-70742;2019-04-16;800006124;2023-06-28;
GROUPE HOSPITALIER SUD;05701;Caméra à scintillation sans détecteur d'émission de positons;322610763;32-22-615;32-22-615;1998-01-29;800006124;1998-08-03;
GROUPE HOSPITALIER SUD;05701;Caméra à scintillation sans détecteur d'émission de positons;322610764;32-22-616;32-22-616;1997-11-26;800006124;2003-02-03;
GROUPE HOSPITALIER SUD;05705;Tomographe à émissions;322610765;32-22-608;32-22-608;2000-06-30;800006124;2004-06-29;
SELAS D'IMAGERIE SCINTIGRAPHIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322610767;32-22-844;32-22-844;2001-07-24;800019325;2007-01-24;
SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322610769;32-22-642;32-22-642;2004-10-12;800019325;2004-10-12;
SELAS D'IMAGERIE SCINTIGRAPHIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322610770;32-22-828;32-22-828;2008-11-28;800019325;2009-10-07;
SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322610878;32-22-76494;32-22-76494;2022-06-30;800019325;;
GIE IMAG ST JEAN SITE HP TOULON HYERES;05602;Scanographe à utilisation médicale;932610771;93-93-4814;93-93-4814;2025-01-30;830024790;2025-02-06;
GIE IMAG ST JEAN SITE HP TOULON HYERES;06201;Appareil d'IRM à utilisation clinique;932610772;93-93-4379;93-93-4379;2025-01-30;830024790;2025-02-06;
SERVICE DE SANTE DES ARMEES;05701;Caméra à scintillation sans détecteur d'émission de positons;112610736;93-93-49015;93-93-49015;2017-10-09;830100574;2017-10-09;
SERVICE DE SANTE DES ARMEES;05701;Caméra à scintillation sans détecteur d'émission de positons;112610737;93-93-49016;93-93-49016;2017-10-09;830100574;2017-10-09;
SERVICE DE SANTE DES ARMEES;05705;Tomographe à émissions;112610739;93-93-62745;93-93-62745;2019-05-04;830100574;2017-10-09;
SARL SOC EXPLOIT CAIS HYPERB SITE CLIN;44901;Caisson hyperbare;932610773;93-93-4394;93-93-4394;2007-05-23;840020341;2007-05-23;
GIE IRM NORD VAUCLUSE SITE CH ORANGE;06201;Appareil d'IRM à utilisation clinique;932610774;93-93-4350;93-93-4350;2003-10-14;840020366;2007-06-20;
CTRE HOSPITALIER J BOUTARD ST YRIEIX;05602;Scanographe à utilisation médicale;752610775;75-74-35817;75-74-35817;2010-12-02;870000270;2011-04-21;
GIE GROUPEMENT D'IMAGERIE MEDICALE;06201;Appareil d'IRM à utilisation clinique;752610776;75-74-35818;75-74-35818;2001-02-26;870011558;2001-02-26;
CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272610369;27-26-35675;27-26-35675;2006-12-14;890008758;2009-04-24;
CENTRE DE MEDECINE NUCLEAIRE DU PARC;05705;Tomographe à émissions;272610363;27-26-42535;27-26-42535;2009-06-12;890008774;2012-05-03;
CENTRE DE MEDECINE NUCLEAIRE DU PARC;05702;Caméra à scintillation avec détecteur d'émission de positons;272610364;27-26-45182;27-26-45182;2011-11-03;890008774;2013-11-22;
CENTRE DE MEDECINE NUCLEAIRE DU PARC;05702;Caméra à scintillation avec détecteur d'émission de positons;272610367;27-26-45673;27-26-45673;2004-03-15;890008774;2007-10-09;
GIE MEDECINE NUCLEAIRE NORD F COMTE;05701;Caméra à scintillation sans détecteur d'émission de positons;272610777;27-43-35634;27-43-35634;2006-07-25;900003963;2017-03-21;
GIE MEDECINE NUCLEAIRE NORD F COMTE;05701;Caméra à scintillation sans détecteur d'émission de positons;272610778;27-43-35635;27-43-35635;2006-12-19;900003963;2006-12-19;
GIE MEDECINE NUCLEAIRE NORD F COMTE;05701;Caméra à scintillation sans détecteur d'émission de positons;272610779;27-43-35642;27-43-35642;2000-12-11;900003963;2010-01-12;
GIE MEDECINE NUCLEAIRE NORD F COMTE;05705;Tomographe à émissions;272610780;27-43-35734;27-43-35734;2006-01-30;900003963;2009-03-30;
CENTRE HOSPITALIER SUD FRANCILIEN;05602;Scanographe à utilisation médicale;112610781;11-11-199;11-11-199;2003-05-14;910020254;2003-05-14;
CENTRE HOSPITALIER SUD FRANCILIEN;06201;Appareil d'IRM à utilisation clinique;112610782;11-11-39422;11-11-39422;2011-06-24;910020254;2015-03-25;
CENTRE HOSPITALIER SUD FRANCILIEN;05705;Tomographe à émissions;112610783;11-11-39479;11-11-39479;2009-12-18;910020254;2014-01-07;
CENTRE HOSPITALIER SUD FRANCILIEN;05701;Caméra à scintillation sans détecteur d'émission de positons;112610784;11-11-1462;11-11-1462;1992-05-07;910020254;1992-05-07;
CENTRE HOSPITALIER SUD FRANCILIEN;05701;Caméra à scintillation sans détecteur d'émission de positons;112610785;11-11-1463;11-11-1463;1995-07-06;910020254;2006-12-13;
CENTRE HOSPITALIER SUD FRANCILIEN;05602;Scanographe à utilisation médicale;112610786;11-11-1426;11-11-1426;2004-06-15;910020254;2005-06-29;
FONDATION CURIE;06301;Cyclotron à utilisation médicale;112610740;11-11-197;11-11-197;1901-01-01;910813732;2005-09-27;
ASSOCIATION HOPITAL FOCH;05701;Caméra à scintillation sans détecteur d'émission de positons;112610788;11-11-2107;11-11-2107;1999-12-30;920000650;2001-04-17;
ASSOCIATION HOPITAL FOCH;05701;Caméra à scintillation sans détecteur d'émission de positons;112610789;11-11-2108;11-11-2108;2003-10-14;920000650;2006-03-02;
SCM ANGIO SCAN;05602;Scanographe à utilisation médicale;112610787;11-11-50737;11-11-50737;2014-05-26;920012978;2016-09-22;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112610723;11-11-75896;11-11-75896;2022-01-20;920100039;2023-10-30;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;44901;Caisson hyperbare;112610727;11-11-2257;11-11-2257;1901-01-01;920100054;2012-01-21;
SERVICE DE SANTE DES ARMEES;06201;Appareil d'IRM à utilisation clinique;112610730;11-11-47701;11-11-47701;2013-04-02;920120011;2013-04-02;
SERVICE DE SANTE DES ARMEES;05602;Scanographe à utilisation médicale;112610731;11-11-47702;11-11-47702;2013-04-02;920120011;2013-04-02;
SERVICE DE SANTE DES ARMEES;05602;Scanographe à utilisation médicale;112610738;11-11-58401;11-11-58401;2015-06-30;920120011;2015-07-01;
GHT GPNE;05701;Caméra à scintillation sans détecteur d'émission de positons;112610800;11-11-1491;11-11-1491;2004-11-16;930000286;2006-12-01;
GHT GPNE;05701;Caméra à scintillation sans détecteur d'émission de positons;112610801;11-11-1490;11-11-1490;1997-11-07;930000286;1999-04-22;
GIE TEP - SAINT-DENIS;05705;Tomographe à émissions;112610803;11-11-51069;11-11-51069;2014-06-04;930025622;2015-09-28;
GCS - ONNU;05705;Tomographe à émissions;112610802;11-11-4098;11-11-4098;2009-04-28;930025671;2010-07-27;
GIE DE LA PLAINE DE FRANCE;05701;Caméra à scintillation sans détecteur d'émission de positons;112610792;11-11-1496;11-11-1496;1999-12-30;930025788;2004-03-10;
GIE DE LA PLAINE DE FRANCE;05701;Caméra à scintillation sans détecteur d'émission de positons;112610793;11-11-5776;11-11-5776;2010-06-25;930025788;2024-05-16;
GIE DE LA PLAINE DE FRANCE;05705;Tomographe à émissions;112610794;11-11-6389;11-11-6389;2011-06-14;930025788;2014-10-08;
GIE IRM DE SAINT DENIS;06201;Appareil d'IRM à utilisation clinique;112610795;11-11-1498;11-11-1498;2000-08-21;930026869;2002-10-31;
MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112610799;11-11-4921;11-11-4921;2009-12-18;930026877;2013-12-18;
MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112610796;11-11-2806;11-11-2806;2000-06-06;930026935;2001-05-03;
MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112610797;11-11-2807;11-11-2807;2000-06-06;930026935;2001-05-03;
MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112610798;11-11-2951;11-11-2951;2004-04-20;930026935;2005-11-25;
GIE TEP DELAFONTAINE PLAINE DE FRANCE;05705;Tomographe à émissions;112610804;11-11-70729;11-11-70729;2019-04-11;930028923;2019-09-16;
GIE DE LA PLAINE DE FRANCE;05705;Tomographe à émissions;112610839;11-11-72865;11-11-72865;2019-12-31;930029491;2024-06-04;
SAS IMANUC;05705;Tomographe à émissions;112610805;11-11-70668;11-11-70668;2019-04-11;930033022;2022-06-22;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;112610724;11-11-1504;11-11-1504;2003-10-14;930100037;2008-06-30;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;112610725;11-11-1505;11-11-1505;2003-05-20;930100037;2008-06-30;
ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05705;Tomographe à émissions;112610726;11-11-1506;11-11-1506;2002-05-03;930100037;2008-06-30;
SAS HOP PRIVE EUROPEEN DE PARIS GVM;05701;Caméra à scintillation sans détecteur d'émission de positons;112610790;11-11-1523;11-11-1523;2004-05-18;930300025;2004-05-18;
SAS HOP PRIVE EUROPEEN DE PARIS GVM;05701;Caméra à scintillation sans détecteur d'émission de positons;112610791;11-11-1522;11-11-1522;1999-12-30;930300025;2002-06-17;
INSTITUT GUSTAVE ROUSSY;05602;Scanographe à utilisation médicale;112610806;11-11-59713;11-11-59713;2016-06-21;940000664;2017-09-05;
INSTITUT GUSTAVE ROUSSY;05602;Scanographe à utilisation médicale;112610807;11-11-1560;11-11-1560;2006-01-17;940000664;2019-03-25;
SERVICE DE SANTE DES ARMEES;05602;Scanographe à utilisation médicale;112610732;11-11-47727;11-11-47727;2013-04-02;940120017;2013-04-02;
SERVICE DE SANTE DES ARMEES;06201;Appareil d'IRM à utilisation clinique;112610733;11-11-47728;11-11-47728;2013-04-02;940120017;2013-04-02;
HOPITAL NOVO;05701;Caméra à scintillation sans détecteur d'émission de positons;112610815;11-11-1604;11-11-1604;2002-12-17;950000364;2005-01-26;
HOPITAL NOVO;05701;Caméra à scintillation sans détecteur d'émission de positons;112610816;11-11-4000;11-11-4000;2008-11-18;950000364;2010-02-01;
HOPITAL NOVO;05701;Caméra à scintillation sans détecteur d'émission de positons;112610817;11-11-1605;11-11-1605;1901-01-01;950000364;2005-02-01;
HOPITAL NOVO;05705;Tomographe à émissions;112610818;11-11-1606;11-11-1606;2004-02-27;950000364;2010-02-01;
HOPITAL NOVO;05705;Tomographe à émissions;112610882;11-11-62841;11-11-62841;2016-12-09;950000364;;
TEP PARIS NORD;05705;Tomographe à émissions;112610813;11-11-2971;11-11-2971;2002-05-03;950008789;2005-05-20;
TEP PARIS NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;112610810;11-11-4086;11-11-4086;1998-12-28;950010298;2010-01-12;
TEP PARIS NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;112610811;11-11-2969;11-11-2969;2002-04-23;950010298;2007-06-08;
TEP PARIS NORD;05705;Tomographe à émissions;112610808;11-11-74063;11-11-74063;2020-10-13;950014068;2023-06-12;
TEP PARIS NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;112610809;11-11-4132;11-11-4132;2005-11-29;950014068;2020-08-19;
TEP PARIS NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;112610812;11-11-2970;11-11-2970;2004-04-20;950014068;2004-04-20;
TEP PARIS NORD;05705;Tomographe à émissions;112610814;11-11-3828;11-11-3828;2008-06-24;950014068;2009-07-20;
C.H.U. DE LA GUADELOUPE;44901;Caisson hyperbare;012610819;01-01-35455;01-01-35455;1976-01-01;970100442;2012-05-03;
CHU DE MARTINIQUE;44901;Caisson hyperbare;022610820;02-02-45507;02-02-45507;2011-06-15;970211215;2011-06-15;
CHU DE LA REUNION;05705;Tomographe à émissions;042610821;04-04-43092;04-04-43092;2012-04-20;970400024;2013-05-01;
CHU DE LA REUNION;05701;Caméra à scintillation sans détecteur d'émission de positons;042610822;04-04-63208;04-04-63208;2009-09-06;970400024;2009-09-07;
CHU DE LA REUNION;05705;Tomographe à émissions;042610824;04-04-77622;04-04-77622;2023-05-30;970400024;2023-11-02;
CHU DE LA REUNION;05701;Caméra à scintillation sans détecteur d'émission de positons;042610825;04-04-35489;04-04-35489;1998-12-30;970400024;1998-12-30;
CHU DE LA REUNION;05701;Caméra à scintillation sans détecteur d'émission de positons;042610826;04-04-35495;04-04-35495;1999-10-29;970400024;1999-10-29;
CHU DE LA REUNION;44901;Caisson hyperbare;042610823;04-04-70741;04-04-70741;2019-04-01;970400057;2023-11-30;
CENTRE HOSPITALIER FRANCOIS DUNAN;05602;Scanographe à utilisation médicale;052610827;75-72-78670;75-72-78670;2015-01-20;970500039;2015-01-21;
CENTRE HOSPITALIER DE MAYOTTE;44901;Caisson hyperbare;062610828;04-06-70576;04-06-70576;2019-03-13;980500011;2019-03-14;
CENTRE HOSPITALIER DE MAYOTTE;05602;Scanographe à utilisation médicale;062610883;06-06-75865;06-06-75865;2021-12-01;980500011;;
CENTRE D'IMAGERIE MEDICALE MAHORAIS;05602;Scanographe à utilisation médicale;062610829;06-06-75333;06-06-75333;2016-06-15;980500540;2016-06-15;
GROUPEMENT INTERET ECOMONIQUE MAYOTTE;06201;Appareil d'IRM à utilisation clinique;062610830;04-06-71062;04-06-71062;2019-03-13;980500789;2019-10-28;
GROUPEMENT INTERET ECOMONIQUE MAYOTTE;06201;Appareil d'IRM à utilisation clinique;062610884;06-06-78742;06-06-78742;2023-03-31;980500789;;
